  11   |   77   |   6.68   |   6.69   |  28.90   |  28.83   |  39.87   |  39.98   |  26.84   |   2.06   |   1.92   |   881.46   
  11   |   78   |   6.24   |   6.68   |  29.29   |  28.84   |  39.62   |  39.98   |  27.12   |   2.17   |   1.92   |   892.10   
  11   |   79   |   7.04   |   6.68   |  28.30   |  28.83   |  40.18   |  39.98   |  26.70   |   1.60   |   1.92   |   902.71   
  11   |   80   |   6.81   |   6.69   |  28.74   |  28.83   |  39.83   |  39.98   |  26.53   |   2.21   |   1.92   |   913.35   
  11   |   81   |   6.36   |   6.68   |  28.99   |  28.83   |  40.72   |  39.99   |  27.30   |   1.69   |   1.92   |   923.94   
  11   |   82   |   6.81   |   6.68   |  28.60   |  28.83   |  39.78   |  39.98   |  26.35   |   2.25   |   1.92   |   934.59   
  11   |   83   |   6.16   |   6.68   |  29.11   |  28.83   |  40.74   |  39.99   |  27.02   |   2.09   |   1.93   |   945.18   
  11   |   84   |   5.96   |   6.67   |  29.85   |  28.84   |  40.91   |  40.00   |  27.42   |   2.44   |   1.93   |   955.84   
  11   |   85   |   6.73   |   6.67   |  28.84   |  28.84   |  39.99   |  40.00   |  26.71   |   2.13   |   1.94   |   966.48   
  11   |   86   |   6.74   |   6.67   |  28.59   |  28.84   |  40.06   |  40.00   |  26.77   |   1.82   |   1.93   |   977.13   
  11   |   87   |   6.25   |   6.67   |  29.40   |  28.85   |  39.89   |  40.00   |  27.17   |   2.23   |   1.94   |   987.75   
  11   |   88   |   6.49   |   6.66   |  29.11   |  28.85   |  40.34   |  40.01   |  27.00   |   2.11   |   1.94   |   998.37   
  11   |   89   |   6.70   |   6.66   |  28.32   |  28.84   |  40.91   |  40.02   |  27.00   |   1.32   |   1.93   |  1008.97   
  11   |   90   |   6.41   |   6.66   |  29.04   |  28.85   |  40.26   |  40.02   |  26.76   |   2.28   |   1.94   |  1019.63   
  11   |   91   |   6.04   |   6.65   |  29.78   |  28.86   |  41.30   |  40.03   |  27.95   |   1.82   |   1.93   |  1030.23   
  11   |   92   |   7.14   |   6.66   |  28.06   |  28.85   |  40.26   |  40.03   |  26.26   |   1.80   |   1.93   |  1040.87   
  11   |   93   |   6.25   |   6.66   |  29.27   |  28.85   |  40.61   |  40.04   |  27.23   |   2.03   |   1.93   |  1051.46   
  11   |   94   |   6.29   |   6.65   |  29.31   |  28.86   |  40.43   |  40.04   |  27.18   |   2.12   |   1.94   |  1062.12   
  11   |   95   |   6.93   |   6.65   |  28.17   |  28.85   |  40.20   |  40.05   |  26.36   |   1.82   |   1.94   |  1072.69   
  11   |   96   |   6.42   |   6.65   |  29.32   |  28.85   |  40.31   |  40.05   |  27.29   |   2.03   |   1.94   |  1083.33   
  11   |   97   |   7.05   |   6.66   |  28.33   |  28.85   |  40.10   |  40.05   |  26.41   |   1.92   |   1.94   |  1093.94   
  11   |   98   |   6.51   |   6.65   |  29.10   |  28.85   |  40.87   |  40.06   |  27.17   |   1.93   |   1.94   |  1104.58   
  11   |   99   |   6.68   |   6.66   |  28.50   |  28.85   |  40.86   |  40.07   |  27.03   |   1.47   |   1.93   |  1115.19   
  11   |  100   |   7.01   |   6.66   |  28.23   |  28.84   |  40.36   |  40.07   |  26.64   |   1.59   |   1.93   |  1125.83   
  11   |  101   |   6.47   |   6.66   |  29.26   |  28.85   |  40.61   |  40.07   |  27.10   |   2.16   |   1.93   |  1136.42   
  11   |  102   |   6.51   |   6.66   |  28.92   |  28.85   |  39.83   |  40.07   |  26.56   |   2.36   |   1.93   |  1147.05   
  11   |  103   |   6.89   |   6.66   |  28.07   |  28.84   |  40.71   |  40.08   |  26.60   |   1.47   |   1.93   |  1157.63   
  11   |  104   |   6.20   |   6.65   |  29.36   |  28.84   |  40.85   |  40.09   |  27.16   |   2.21   |   1.93   |  1168.28   
  11   |  105   |   6.21   |   6.65   |  29.47   |  28.85   |  40.56   |  40.09   |  27.61   |   1.86   |   1.93   |  1178.87   
  11   |  106   |   6.47   |   6.65   |  29.02   |  28.85   |  39.95   |  40.09   |  26.86   |   2.16   |   1.93   |  1189.51   
  11   |  107   |   6.52   |   6.65   |  28.92   |  28.85   |  40.46   |  40.09   |  27.00   |   1.92   |   1.93   |  1200.13   
  11   |  108   |   6.38   |   6.64   |  29.27   |  28.86   |  40.30   |  40.09   |  26.99   |   2.27   |   1.94   |  1210.78   
  11   |  109   |   6.35   |   6.64   |  29.16   |  28.86   |  40.24   |  40.09   |  27.05   |   2.11   |   1.94   |  1221.36   
  11   |  110   |   6.59   |   6.64   |  28.83   |  28.86   |  39.97   |  40.09   |  26.78   |   2.06   |   1.94   |  1232.00   
  11   |  111   |   6.88   |   6.64   |  28.34   |  28.85   |  40.45   |  40.10   |  26.36   |   1.98   |   1.94   |  1242.62   
  11   |  112   |   6.44   |   6.64   |  29.12   |  28.86   |  40.44   |  40.10   |  27.11   |   2.01   |   1.94   |  1253.29   
  11   |  113   |   6.51   |   6.64   |  28.79   |  28.86   |  40.21   |  40.10   |  26.60   |   2.19   |   1.94   |  1263.90   
  11   |  114   |   6.23   |   6.64   |  29.63   |  28.86   |  40.52   |  40.10   |  27.56   |   2.07   |   1.94   |  1274.55   
  11   |  115   |   6.67   |   6.64   |  28.48   |  28.86   |  39.69   |  40.10   |  26.21   |   2.28   |   1.95   |  1285.15   
  11   |  116   |   6.26   |   6.63   |  29.44   |  28.86   |  41.12   |  40.11   |  27.53   |   1.91   |   1.95   |  1295.77   
  11   |  117   |   6.59   |   6.63   |  28.79   |  28.86   |  40.06   |  40.11   |  26.56   |   2.23   |   1.95   |  1306.39   
  11   |  118   |   6.87   |   6.63   |  28.74   |  28.86   |  40.45   |  40.11   |  26.95   |   1.79   |   1.95   |  1317.05   
  11   |  119   |   6.54   |   6.63   |  29.04   |  28.86   |  40.64   |  40.12   |  27.07   |   1.98   |   1.95   |  1327.67   
  11   |  120   |   6.72   |   6.63   |  28.61   |  28.86   |  40.38   |  40.12   |  26.53   |   2.08   |   1.95   |  1338.33   
  11   |  121   |   6.76   |   6.64   |  28.72   |  28.86   |  40.10   |  40.12   |  26.56   |   2.16   |   1.95   |  1348.93   
